Website Inventory,Region,Country,Locale,Purpose,TechStack,Account/Instance ID,Ownership/control contact,Business Stakeholders,Agency information,Paid by?,Remarks
www.resmed.com/en-us,AMR,US/Canada,en-us,Brand,AWS DevX,296062574494 (rmd-app-sky-master-us-prd),"Joel, Adam, Vish",,,,
Old Pebbles account,AMR,US/Canada,en-us,Brand,"AWS (Project Pebbles), WordPress, Vue.JS",584047201543 (AWS_Sleep_Pebble_Prod_DevOps),"Joel, Adam, Vish",,"Departure (Elisse Thurston, Emily Rex, Bruno Correia, Robert Palmer)","Infra paid by Will Moses, Dptr by business/marketing","Migrated to DevX templates on March 11, 2025. Old infrastructure to be decommissioning request raised with Vishnu Sankar."
https://shop.resmed.com/en-us,AMR,US/Canada,en-us,B2C E-Commerce,Shopify,,"Jan Nee, Preeti, Joel, Amanda Cooper",,,,
https://support.resmed.com/en-us,AMR,US/Canada,en-us,Support,"AWS, WordPress",,"Trivikram, Ramanjeet",,,,
https://www.resmedwebinars.com,AMR,US/Canada,en-us,Education,"ExpressionEngine, Media Temple",,"Joel, Adam, Vish",,,,Business looking for event management software. All webinar videos to be hosted on new platform.
https://explore.resmed.com,AMR,US/Canada,en-us,,,,Joel,,,,
https://www.rmdassets.com,AMR,US/Canada,en-us,DAM,Media Temple,,"Joel, Adam, Vish",,,,"Mask guide migrated to HubSpot, Learning material to be hosted on EC2+S3 on DevX"
https://selfiescreener.resmed.com,AMR,US/Canada,en-us,OSA Screening tool,"AWS, React.JS",,"Joel, Alvin, Kartik, Chris Gill",,Transfunnel,,
https://help.resmed.com,AMR,US/Canada,en-us,ResMed Resupply HME/Sales team tool,Nice CXOne,,Clint Rodenfeld,,,,Joel to speak to Andrew Rodger about future of this. As most of the functionality can be migrated to Support site.
http://airconnect.resmed.com,EU,EU,,ResMed Resupply HME/Sales team tool,SalesForce,,"Sylvain Paruite, Chiara Galligani, Olivier Carantelly",,,,
https://sleepsurvey.resmed.com,Global,US/Canada,en-us,Sleep Survey,Vev,,Sara Ireland,,Team Louise/TransFunnel,,Business planning to migrate this landing page to HubSpot
https://www.resmed.com.br,LATAM,Brazil,pt-br,Brand,HubSpot,(BR Instance) (ID: 6550155),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.mx,LATAM,Mexico,es-mx,Brand,HubSpot,(BR Instance) (ID: 6550155),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.lat,LATAM,Rest of LATAM,es-lat,Brand,HubSpot,(BR Instance) (ID: 6550155),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
www.resmed.com.au,APAC,Australia,en-au,Brand,HubSpot,(ANZ Instance) (ID: 2163007),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
shop.resmed.com.au,APAC,Australia,en-au,B2C E-Commerce,Shopify,,Jan Nee,,,,
retail.resmed.com.au,APAC,Australia,en-au,Subscription,HubSpot,(ANZ Instance) (ID: 2163007),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://support.resmed.com/en-au,APAC,Australia,en-au,Support,"AWS, WordPress",,"Trivikram, Ramanjeet",,,,
www.edensleep.co.nz,APAC,New Zealand,en-nz,Brand,HubSpot,(ANZ Instance) (ID: 2163007),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,Site to be migrated to https://shop.resmed.co.nz on 02/12/2025
https://shop.edensleep.co.nz,APAC,New Zealand,en-nz,B2C E-Commerce,Shopify,,Jan Nee,,,,
www.cpapaustralia.com.au,APAC,Australia,en-au,B2C E-Commerce,Shopify,,Jan Nee,,,,
ww2.cpapaustralia.com.au,APAC,Australia,en-au,Brand/Blog,HubSpot,(ANZ Instance) (ID: 2163007),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,Redirecred to resmed.com.au/blog
www.sleepvantage.com.au,APAC,Australia,en-au,Loyalty,HubSpot,(ANZ Instance) (ID: 2163007),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
www.resmed.co.in,APAC,India,en-in,Brand,HubSpot,(India Instance) (ID: 5935712),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://shop.resmed.co.in,APAC,India,en-in,B2C E-Commerce,Shopify,,Jan Nee,,,,
